 step     T          P        Pxy       etotal     epotential      ebonded     ekinetic
 1960   0.9690    0.44317  0.00900   578042.520     1195.539   547770.718    29076.263
 1970   0.9690    0.44384  0.01153   578038.872     1202.301   547761.614    29074.958
 1980   0.9690    0.44450  0.01390   578024.148     1197.592   547751.394    29075.162
 1990   0.9696    0.44528  0.01627   578033.539     1199.783   547740.659    29093.098
 2000   0.9691    0.44544  0.01852   578006.694     1199.262   547729.882    29077.550
 2010   0.9691    0.44578  0.02069   578001.316     1204.680   547718.439    29078.197
 2020   0.9692    0.44616  0.02284   577987.871     1200.111   547706.012    29081.748
 2030   0.9698    0.44682  0.02493   577983.084     1190.642   547692.149    29100.294
 2040   0.9699    0.44733  0.02696   577976.029     1196.264   547677.261    29102.505
 2050   0.9702    0.44787  0.02896   577971.055     1196.853   547662.458    29111.744
 2060   0.9705    0.44845  0.03087   577965.926     1198.201   547646.953    29120.772
 2070   0.9712    0.44921  0.03272   577969.737     1197.113   547631.066    29141.558
 2080   0.9714    0.44978  0.03448   577974.498     1212.026   547615.038    29147.434
 2090   0.9718    0.45052  0.03602   577966.173     1209.023   547598.351    29158.798
 2100   0.9726    0.45152  0.03757   577977.965     1213.254   547581.192    29183.520
 2110   0.9732    0.45246  0.03910   577970.153     1205.173   547563.655    29201.325
 2120   0.9739    0.45344  0.04051   577978.390     1208.089   547546.569    29223.731
 2130   0.9745    0.45435  0.04186   577976.611     1206.654   547529.819    29240.139
 2140   0.9747    0.45511  0.04321   577973.044     1213.163   547513.453    29246.428
 2150   0.9752    0.45596  0.04449   577969.343     1210.565   547497.654    29261.124
 2160   0.9758    0.45692  0.04570   577973.070     1210.971   547481.803    29280.296
 2170   0.9761    0.45783  0.04678   577971.951     1219.192   547465.309    29287.450
 2180   0.9759    0.45867  0.04781   577953.502     1221.130   547448.566    29283.806
 2190   0.9765    0.45975  0.04878   577965.918     1233.680   547432.347    29299.891
 2200   0.9772    0.46078  0.04958   577970.884     1232.017   547417.032    29321.835
 2210   0.9779    0.46184  0.05045   577979.683     1234.200   547401.472    29344.010
 2220   0.9785    0.46279  0.05120   577985.944     1238.035   547386.395    29361.515
 2230   0.9789    0.46356  0.05180   577993.480     1247.985   547372.382    29373.113
 2240   0.9801    0.46468  0.05245   578019.468     1253.642   547358.289    29407.537
 2250   0.9805    0.46566  0.05293   578023.389     1259.339   547343.641    29420.409
 2260   0.9813    0.46676  0.05336   578027.157     1254.055   547329.615    29443.487
 2270   0.9815    0.46762  0.05366   578028.604     1262.969   547316.133    29449.502
 2280   0.9822    0.46859  0.05381   578032.500     1257.760   547304.020    29470.720
 2290   0.9821    0.46922  0.05381   578020.129     1259.929   547292.633    29467.567
